#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         640    -7.41912    -7.54967  0.00525653
         641    -7.50642     -7.5496  0.00524876
         642    -7.52561    -7.54956  0.00524072
         643    -7.50881     -7.5495  0.00523295
         644    -7.49623    -7.54941  0.00522548
         645    -7.52932    -7.54938  0.00521747
         646    -7.55416    -7.54939   0.0052094
         647    -7.58007    -7.54944  0.00520156
         648    -7.54845    -7.54944  0.00519354
         649    -7.60445    -7.54952  0.00518622
         650    -7.60865    -7.54961  0.00517904
         651    -7.65442    -7.54977  0.00517359
         652    -7.57554    -7.54981  0.00516581
         653    -7.50605    -7.54975  0.00515833
         654    -7.51267    -7.54969  0.00515075
         655     -7.5105    -7.54963  0.00514324
         656    -7.53442    -7.54961  0.00513545
         657    -7.56092    -7.54962  0.00512766
         658    -7.55039    -7.54962  0.00511987
         659    -7.54292    -7.54961  0.00511211
         660    -7.55998    -7.54963  0.00510439
         661    -7.53353    -7.54961  0.00509672
         662    -7.47825     -7.5495  0.00509017
