#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         395     -5.6323    -5.55934  0.00954203
         396    -5.59972    -5.55944  0.00951848
         397    -5.59399    -5.55953   0.0094949
         398    -5.58123    -5.55958   0.0094712
         399    -5.69338    -5.55992   0.0094534
         400    -5.65043    -5.56014  0.00943247
         401     -5.6797    -5.56044  0.00941366
         402    -5.62292     -5.5606  0.00939153
         403    -5.51227    -5.56048  0.00936899
         404    -5.52199    -5.56038  0.00934628
         405    -5.53657    -5.56032  0.00932339
         406    -5.68019    -5.56062   0.0093051
         407    -5.77538    -5.56115  0.00929719
         408    -5.74342    -5.56159  0.00928513
         409    -5.65671    -5.56183  0.00926534
         410    -5.63227      -5.562  0.00924433
         411    -5.52873    -5.56192  0.00922219
         412    -5.60092    -5.56201   0.0092003
         413    -5.53202    -5.56194  0.00917831
         414    -5.51125    -5.56182  0.00915695
         415    -5.52604    -5.56173  0.00913529
         416    -5.50654     -5.5616   0.0091143
         417    -5.59546    -5.56168   0.0090928
         418    -5.57347    -5.56171  0.00907109
         419       -5.49    -5.56154  0.00905106
         420    -5.47924    -5.56134  0.00903163
         421    -5.52954    -5.56126  0.00901049
         422    -5.61284    -5.56139  0.00898997
         423    -5.47378    -5.56118   0.0089711
         424    -5.56733    -5.56119  0.00894995
         425    -5.53934    -5.56114  0.00892904
         426    -5.44983    -5.56088   0.0089119
         427    -5.50106    -5.56074  0.00889213
         428    -5.56326    -5.56075  0.00887136
         429    -5.52222    -5.56066  0.00885114
         430    -5.51976    -5.56056  0.00883106
         431    -5.49349    -5.56041  0.00881194
         432    -5.49668    -5.56026  0.00879278
         433    -5.51557    -5.56016  0.00877308
         434    -5.45821    -5.55992  0.00875601
         435     -5.5159    -5.55982  0.00873647
         436    -5.53839    -5.55977  0.00871657
         437    -5.44174     -5.5595   0.0087008
         438      -5.598    -5.55959  0.00868138
         439    -5.53317    -5.55953  0.00866182
         440     -5.5402    -5.55948  0.00864224
         441    -5.61628    -5.55961   0.0086236
         442    -5.61726    -5.55974  0.00860508
         443    -5.69094    -5.56004  0.00859075
         444    -5.58783     -5.5601  0.00857163
         445    -5.63201    -5.56026  0.00855389
         446    -5.61539    -5.56039   0.0085356
         447    -5.61985    -5.56052  0.00851754
         448    -5.62319    -5.56066  0.00849968
         449    -5.60001    -5.56075   0.0084812
         450    -5.63874    -5.56092  0.00846413
         451    -5.70793    -5.56125  0.00845163
         452    -5.65321    -5.56145  0.00843538
         453    -5.56905    -5.56147  0.00841678
         454    -5.53772    -5.56142   0.0083984
         455    -5.54342    -5.56138  0.00838004
         456    -5.55334    -5.56136  0.00836168
         457    -5.52098    -5.56127  0.00834385
         458    -5.46357    -5.56106  0.00832836
         459    -5.49239    -5.56091  0.00831155
         460    -5.55454    -5.56089   0.0082935
         461    -5.54926    -5.56087  0.00827555
         462    -5.50648    -5.56075  0.00825847
         463    -5.59876    -5.56083  0.00824104
         464     -5.6004    -5.56092  0.00822372
         465    -5.65329    -5.56112  0.00820844
         466    -5.54951    -5.56109  0.00819086
         467    -5.44659    -5.56085  0.00817699
         468    -5.48684    -5.56069  0.00816104
         469    -5.49172    -5.56054  0.00814497
         470    -5.47324    -5.56036  0.00812976
         471    -5.42508    -5.56007  0.00811757
         472     -5.4512    -5.55984  0.00810365
         473    -5.44285    -5.55959  0.00809029
         474    -5.44965    -5.55936  0.00807654
         475    -5.55105    -5.55934  0.00805956
         476      -5.479    -5.55917  0.00804439
         477    -5.47859      -5.559   0.0080293
         478    -5.48071    -5.55884  0.00801418
         479    -5.53156    -5.55878  0.00799765
         480     -5.5477    -5.55876  0.00798102
         481    -5.57126    -5.55879  0.00796447
         482    -5.54767    -5.55876  0.00794798
         483    -5.48432    -5.55861  0.00793302
         484    -5.52597    -5.55854  0.00791691
         485    -5.56188    -5.55855  0.00790059
         486    -5.66152    -5.55876  0.00788718
         487    -5.70476    -5.55906  0.00787668
         488    -5.62219    -5.55919   0.0078616
         489    -5.66925    -5.55941  0.00784874
         490    -5.63193    -5.55956  0.00783412
         491    -5.56037    -5.55956  0.00781816
         492    -5.53911    -5.55952  0.00780238
         493     -5.5144    -5.55943  0.00778709
         494    -5.46271    -5.55923  0.00777379
         495    -5.38785    -5.55889  0.00776579
         496     -5.3871    -5.55854  0.00775786
         497    -5.37624    -5.55817  0.00775091
         498    -5.38697    -5.55783  0.00774297
         499    -5.42327    -5.55756  0.00773215
         500    -5.53008    -5.55751  0.00771688
         501    -5.42873    -5.55725  0.00770576
         502    -5.44923    -5.55703  0.00769341
         503      -5.538      -5.557  0.00767821
         504    -5.62623    -5.55713   0.0076642
         505    -5.53796     -5.5571  0.00764912
         506    -5.54036    -5.55706  0.00763407
         507    -5.49757    -5.55695  0.00761992
         508    -5.50503    -5.55684   0.0076056
         509      -5.542    -5.55681  0.00759072
         510    -5.51932    -5.55674  0.00757619
         511    -5.46256    -5.55656   0.0075636
         512    -5.48837    -5.55642     0.00755
         513    -5.60267    -5.55651  0.00753583
         514    -5.58332    -5.55657  0.00752134
         515    -5.58007    -5.55661  0.00750688
         516    -5.60741    -5.55671  0.00749298
         517    -5.54522    -5.55669  0.00747852
         518    -5.51335     -5.5566  0.00746455
         519    -5.45961    -5.55642   0.0074525
         520    -5.44922    -5.55621  0.00744102
         521    -5.51482    -5.55613  0.00742716
         522    -5.43184    -5.55589  0.00741675
         523    -5.45185    -5.55569  0.00740524
         524     -5.4433    -5.55548  0.00739421
         525     -5.5951    -5.55555  0.00738051
         526    -5.53099    -5.55551  0.00736663
         527    -5.50494    -5.55541  0.00735328
         528    -5.53904    -5.55538  0.00733941
         529    -5.59753    -5.55546  0.00732597
         530    -5.57693     -5.5555  0.00731226
         531    -5.59148    -5.55557   0.0072988
         532    -5.57048     -5.5556  0.00728514
         533    -5.44978     -5.5554  0.00727418
         534    -5.43014    -5.55516  0.00726433
         535    -5.46785      -5.555  0.00725259
         536    -5.55018    -5.55499  0.00723906
         537    -5.51406    -5.55492  0.00722598
         538    -5.47157    -5.55476  0.00721421
         539    -5.53122    -5.55472  0.00720096
         540    -5.46394    -5.55455  0.00718959
         541    -5.37658    -5.55422  0.00718382
         542      -5.435      -5.554  0.00717393
         543    -5.46305    -5.55383  0.00716268
         544     -5.3877    -5.55353  0.00715602
         545    -5.40674    -5.55326  0.00714795
         546    -5.43807    -5.55305  0.00713798
         547    -5.55738    -5.55305  0.00712493
         548    -5.50142    -5.55296  0.00711255
         549     -5.4731    -5.55282  0.00710108
         550    -5.62223    -5.55294  0.00708929
         551    -5.63982     -5.5531  0.00707818
         552    -5.59428    -5.55317  0.00706575
         553    -5.60638    -5.55327  0.00705363
         554    -5.65439    -5.55345  0.00704326
         555    -5.64855    -5.55362  0.00703265
         556    -5.61046    -5.55373  0.00702075
         557    -5.53034    -5.55368  0.00700827
         558    -5.57478    -5.55372  0.00699581
         559    -5.49633    -5.55362  0.00698405
         560    -5.58941    -5.55368  0.00697187
         561     -5.6098    -5.55378  0.00696016
         562    -5.54796    -5.55377  0.00694778
         563    -5.51813    -5.55371  0.00693573
         564    -5.51536    -5.55364  0.00692377
         565    -5.58895     -5.5537  0.00691179
         566     -5.5842    -5.55376  0.00689979
         567    -5.48506    -5.55364  0.00688869
         568    -5.48118    -5.55351  0.00687774
         569      -5.407    -5.55325  0.00687047
         570    -5.42246    -5.55302  0.00686225
         571    -5.42343     -5.5528  0.00685398
         572    -5.41304    -5.55255  0.00684635
         573    -5.41645    -5.55231  0.00683852
         574     -5.4672    -5.55216  0.00682822
         575    -5.45313    -5.55199  0.00681851
         576     -5.3829     -5.5517  0.00681299
         577    -5.38497    -5.55141  0.00680731
         578    -5.37036     -5.5511  0.00680274
         579     -5.4513    -5.55092  0.00679317
         580    -5.42986    -5.55072  0.00678466
         581    -5.56784    -5.55075  0.00677305
         582    -5.53189    -5.55071  0.00676149
         583    -5.58667    -5.55077  0.00675017
         584    -5.46438    -5.55063  0.00674024
         585    -5.47615     -5.5505  0.00672992
         586    -5.50463    -5.55042  0.00671889
         587    -5.56487    -5.55045  0.00670749
         588    -5.53962    -5.55043   0.0066961
         589    -5.61741    -5.55054   0.0066857
         590      -5.569    -5.55057  0.00667444
         591    -5.49151    -5.55047   0.0066639
         592    -5.39446    -5.55021  0.00665785
         593     -5.4597    -5.55006  0.00664837
         594    -5.42639    -5.54985  0.00664044
         595     -5.4708    -5.54972  0.00663061
         596    -5.41928     -5.5495  0.00662309
         597    -5.50953    -5.54943  0.00661234
         598    -5.52765    -5.54939  0.00660138
         599    -5.46279    -5.54925  0.00659194
         600    -5.45171    -5.54909  0.00658296
         601    -5.57546    -5.54913  0.00657215
         602    -5.58656    -5.54919  0.00656153
         603    -5.58239    -5.54925  0.00655088
         604    -5.62412    -5.54937  0.00654121
         605    -5.62313    -5.54949  0.00653153
         606    -5.61677     -5.5496  0.00652169
         607    -5.55646    -5.54962  0.00651096
         608    -5.49173    -5.54952  0.00650095
         609    -5.54942    -5.54952  0.00649027
         610    -5.63361    -5.54966   0.0064811
         611    -5.55361    -5.54966  0.00647049
         612    -5.54781    -5.54966  0.00645992
         613    -5.61015    -5.54976  0.00645014
         614    -5.59495    -5.54983  0.00644005
         615    -5.62356    -5.54995  0.00643069
         616    -5.58434    -5.55001   0.0064205
         617    -5.55886    -5.55002  0.00641011
         618    -5.59228    -5.55009   0.0064001
         619    -5.64145    -5.55024  0.00639146
         620    -5.68863    -5.55046  0.00638505
         621    -5.64309    -5.55061  0.00637651
         622    -5.53649    -5.55059   0.0063663
         623    -5.49346     -5.5505  0.00635674
         624     -5.6018    -5.55058  0.00634708
         625    -5.62001    -5.55069   0.0063379
         626     -5.5259    -5.55065   0.0063279
         627    -5.57543    -5.55069  0.00631793
         628     -5.6348    -5.55082  0.00630929
         629    -5.61197    -5.55092  0.00630001
         630    -5.61707    -5.55103  0.00629088
         631    -5.54941    -5.55102  0.00628091
         632    -5.50978    -5.55096  0.00627132
         633    -5.46861    -5.55083  0.00626276
         634    -5.44686    -5.55066  0.00625503
         635     -5.5338    -5.55064  0.00624523
         636    -5.46337     -5.5505  0.00623692
         637    -5.46665    -5.55037  0.00622852
         638    -5.46383    -5.55023  0.00622023
         639    -5.45385    -5.55008  0.00621233
         640    -5.53895    -5.55007  0.00620264
         641    -5.56525    -5.55009  0.00619301
         642     -5.5398    -5.55007  0.00618339
         643    -5.54895    -5.55007  0.00617377
         644    -5.60926    -5.55016  0.00616487
         645    -5.58521    -5.55022  0.00615555
         646    -5.43119    -5.55003  0.00614878
         647    -5.48548    -5.54993  0.00614008
         648    -5.48756    -5.54984  0.00613136
         649     -5.5243     -5.5498  0.00612204
         650    -5.57144    -5.54983  0.00611271
         651    -5.53431    -5.54981  0.00610337
         652      -5.416     -5.5496  0.00609746
         653    -5.44685    -5.54944  0.00609015
         654    -5.43127    -5.54926  0.00608352
         655    -5.46111    -5.54913  0.00607572
         656     -5.4846    -5.54903  0.00606725
         657    -5.49704    -5.54895  0.00605854
         658    -5.55063    -5.54895  0.00604933
         659    -5.52823    -5.54892  0.00604023
         660    -5.51406    -5.54887  0.00603131
         661    -5.40259    -5.54865  0.00602624
         662    -5.35056    -5.54835  0.00602456
         663    -5.38586     -5.5481  0.00602046
