Step,Mu,Sigma,Hamiltonian,Error
261,0.811055,0.610191,-0.375953,0.0131358
262,0.752482,0.623328,-0.369798,0.0214867
263,0.73636,0.720199,-0.335162,0.0145438
264,0.825265,0.761794,-0.271211,0.0533672
265,0.810757,0.850461,-0.210911,0.0495147
266,0.752916,0.801001,-0.253634,0.0282133
267,0.697516,0.740508,-0.324823,0.015506
268,0.643345,0.650209,-0.286778,0.0103796
269,0.64623,0.732491,-0.246481,0.0234075
270,0.586436,0.820522,-0.147222,0.0226908
271,0.675764,0.805621,-0.252448,0.0235888
272,0.66874,0.872434,-0.0364243,0.0883991
273,0.754412,0.855763,-0.132975,0.0559846
274,0.791961,0.775641,-0.247118,0.0501915
275,0.791961,0.775641,-0.2619,0.0390625
276,0.809176,0.734873,-0.320046,0.0324368
277,0.84019,0.702609,-0.333832,0.0339393
278,0.93922,0.637504,-0.287677,0.0242534
279,0.866506,0.711981,-0.320916,0.0295761
280,0.841149,0.750577,-0.302944,0.0305303
281,0.799236,0.786314,-0.328534,0.0252901
282,0.799236,0.786314,-0.262024,0.0425285
283,0.799236,0.786314,-0.216616,0.0502365
284,0.799077,0.790429,-0.258779,0.0407574
285,0.799077,0.790429,-0.255274,0.0384291
286,0.765368,0.729456,-0.308764,0.031672
287,0.795248,0.768434,-0.326454,0.0214569
288,0.745568,0.676646,-0.326334,0.0291771
289,0.656014,0.662667,-0.291021,0.0186812
290,0.72988,0.747366,-0.305718,0.0258196
291,0.72988,0.747366,-0.332842,0.0161121
292,0.776625,0.69733,-0.360547,0.022811
293,0.68202,0.609322,-0.350952,0.00879618
294,0.68202,0.609322,-0.338142,0.00970213
295,0.68202,0.609322,-0.344485,0.00929557
296,0.633044,0.640765,-0.28146,0.0125575
297,0.693205,0.664671,-0.323123,0.0153579
298,0.626516,0.646454,-0.279701,0.0129578
299,0.706175,0.656433,-0.336027,0.0234339
300,0.658608,0.728943,-0.269256,0.0193613
301,0.666884,0.672711,-0.337017,0.0133216
302,0.623835,0.739181,-0.17966,0.06487
303,0.629261,0.742695,-0.239656,0.0197111
304,0.615044,0.746167,-0.212509,0.0163741
305,0.533226,0.70359,-0.115403,0.0163441
306,0.533226,0.70359,-0.0909835,0.019574
307,0.5695,0.653776,-0.155304,0.02031
308,0.549562,0.747957,-0.174587,0.0167516
309,0.549562,0.747957,-0.143374,0.0161672
310,0.549562,0.747957,-0.167751,0.0169341
311,0.549562,0.747957,-0.105812,0.0174339
312,0.549562,0.747957,-0.11416,0.0256114
313,0.631603,0.738963,-0.232261,0.0149645
314,0.586697,0.778647,-0.153621,0.027741
315,0.586697,0.778647,-0.163744,0.0192786
316,0.597749,0.7608,-0.209225,0.0148188
317,0.597749,0.7608,-0.17507,0.0246431
318,0.597749,0.7608,-0.133831,0.0311267
319,0.509451,0.74846,-0.0887175,0.0174026
320,0.544179,0.697133,-0.123792,0.0153544
321,0.576307,0.701157,-0.171201,0.0133934
322,0.588274,0.607371,-0.18857,0.0130385
323,0.687561,0.58148,-0.349108,0.00855095
324,0.687561,0.58148,-0.340331,0.00821274
325,0.757569,0.564681,-0.339351,0.015749
326,0.757569,0.564681,-0.352709,0.00964398
327,0.757569,0.564681,-0.350856,0.009033
328,0.695892,0.573331,-0.345623,0.00759976
329,0.657425,0.631115,-0.312838,0.013147
330,0.580141,0.708443,-0.20263,0.0145006
331,0.655055,0.708604,-0.296587,0.0141581
332,0.655055,0.708604,-0.294444,0.0156435
333,0.655055,0.708604,-0.273092,0.0200892
334,0.655055,0.708604,-0.278693,0.0137806
335,0.655055,0.708604,-0.265434,0.0185818
336,0.73412,0.63295,-0.403537,0.00798425
337,0.800247,0.691657,-0.38964,0.0174395
338,0.800247,0.691657,-0.312493,0.0312584
339,0.739036,0.651969,-0.37242,0.0167397
340,0.747956,0.660037,-0.379892,0.0190726
341,0.760593,0.661514,-0.384788,0.0147524
