#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         586    0.812731    0.779676  0.00989842
         587    0.813457    0.779733  0.00988172
         588    0.814153    0.779792  0.00986509
         589    0.814819    0.779851  0.00984852
         590    0.815456    0.779912  0.00983201
         591    0.816064    0.779973  0.00981557
         592    0.816644    0.780035  0.00979918
         593    0.817197    0.780097  0.00978286
         594    0.817724    0.780161   0.0097666
         595    0.818227    0.780225  0.00975039
         596    0.818706    0.780289  0.00973424
         597    0.819161    0.780354  0.00971816
         598    0.819595     0.78042  0.00970213
         599    0.820008    0.780486  0.00968616
         600    0.820401    0.780553  0.00967024
         601    0.820776     0.78062  0.00965438
         602    0.821134    0.780687  0.00963858
         603    0.821475    0.780754  0.00962283
         604    0.821801    0.780822  0.00960714
         605    0.822113    0.780891   0.0095915
         606    0.822412    0.780959  0.00957592
         607      0.8227    0.781028  0.00956039
         608    0.822978    0.781097  0.00954492
         609    0.823246    0.781166  0.00952949
         610    0.823506    0.781236  0.00951412
         611    0.823757    0.781305  0.00949881
         612    0.824001    0.781375  0.00948354
         613     0.82424    0.781445  0.00946833
         614    0.824474    0.781515  0.00945317
         615    0.824704    0.781585  0.00943806
         616    0.824932    0.781656    0.009423
         617    0.825159    0.781726  0.00940799
         618    0.825385    0.781797  0.00939303
         619    0.825611    0.781867  0.00937812
         620    0.825838    0.781938  0.00936327
         621    0.826066    0.782009  0.00934846
         622    0.826296    0.782081   0.0093337
         623    0.826528    0.782152  0.00931899
         624    0.826765    0.782224  0.00930433
         625    0.827006    0.782295  0.00928972
         626    0.827253    0.782367  0.00927516
         627    0.827505    0.782439  0.00926064
         628    0.827765    0.782511  0.00924618
         629    0.828031    0.782584  0.00923176
         630    0.828305    0.782656  0.00921739
         631    0.828588    0.782729  0.00920307
         632    0.828879    0.782802   0.0091888
         633    0.829179    0.782875  0.00917458
         634    0.829488    0.782949   0.0091604
         635    0.829808    0.783022  0.00914627
         636    0.830139    0.783097  0.00913219
         637     0.83048    0.783171  0.00911816
         638    0.830833    0.783246  0.00910417
         639    0.831196    0.783321  0.00909023
         640    0.831571    0.783396  0.00907634
         641    0.831957    0.783472   0.0090625
         642    0.832356    0.783548   0.0090487
         643    0.832766    0.783625  0.00903495
         644    0.833188    0.783701  0.00902125
         645    0.833622    0.783779   0.0090076
         646    0.834069    0.783857  0.00899399
         647    0.834528    0.783935  0.00898043
         648       0.835    0.784014  0.00896692
         649    0.835483    0.784093  0.00895345
         650    0.835978    0.784173  0.00894003
         651    0.836484    0.784253  0.00892666
         652    0.837001    0.784334  0.00891334
         653    0.837529    0.784416  0.00890006
         654    0.838066    0.784498  0.00888683
         655    0.838614     0.78458  0.00887365
         656    0.839171    0.784664  0.00886051
         657    0.839736    0.784747  0.00884742
         658    0.840309    0.784832  0.00883438
         659     0.84089    0.784917  0.00882138
         660    0.841479    0.785003  0.00880843
         661    0.842076    0.785089  0.00879553
         662    0.842678    0.785176  0.00878267
         663    0.843285    0.785264  0.00876986
         664    0.843895    0.785352   0.0087571
         665    0.844508    0.785441  0.00874438
         666    0.845123     0.78553  0.00873171
         667    0.845738    0.785621  0.00871909
         668    0.846354    0.785712  0.00870651
         669     0.84697    0.785803  0.00869398
         670    0.847583    0.785895  0.00868149
         671    0.848192    0.785988  0.00866905
         672    0.848798    0.786082  0.00865665
         673    0.849399    0.786176   0.0086443
         674    0.849993    0.786271  0.00863199
         675    0.850581    0.786366  0.00861973
         676     0.85116    0.786462  0.00860751
         677     0.85173    0.786558  0.00859534
         678     0.85229    0.786655  0.00858321
         679    0.852839    0.786752  0.00857112
         680    0.853375     0.78685  0.00855907
         681    0.853896    0.786949  0.00854707
         682    0.854402    0.787048  0.00853511
         683    0.854893    0.787147  0.00852319
         684    0.855367    0.787247  0.00851132
         685    0.855824    0.787347  0.00849948
         686    0.856262    0.787447  0.00848768
         687    0.856682    0.787548  0.00847593
         688    0.857082    0.787649  0.00846421
         689    0.857461    0.787751  0.00845253
         690     0.85782    0.787852  0.00844089
         691    0.858156    0.787954  0.00842929
         692    0.858468    0.788056  0.00841772
         693    0.858757    0.788158   0.0084062
         694    0.859023     0.78826   0.0083947
