#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         463    0.741093    0.776037   0.0123512
         464    0.740001     0.77596   0.0123249
         465    0.738925     0.77588   0.0122986
         466    0.737867    0.775798   0.0122725
         467    0.736826    0.775715   0.0122465
         468    0.735805     0.77563   0.0122206
         469    0.734806    0.775543   0.0121949
         470    0.733828    0.775454   0.0121692
         471    0.732872    0.775363   0.0121437
         472    0.731938    0.775271   0.0121184
         473    0.731028    0.775178   0.0120931
         474    0.730142    0.775083    0.012068
         475     0.72928    0.774986   0.0120429
         476    0.728443    0.774889    0.012018
         477    0.727632     0.77479   0.0119933
         478    0.726849    0.774689   0.0119686
         479    0.726093    0.774588    0.011944
         480    0.725366    0.774485   0.0119196
         481    0.724668    0.774382   0.0118953
         482    0.723998    0.774277    0.011871
         483    0.723359    0.774172   0.0118469
         484    0.722751    0.774065   0.0118229
         485    0.722174    0.773958    0.011799
         486    0.721628    0.773851   0.0117752
         487    0.721112    0.773743   0.0117516
         488    0.720629    0.773634    0.011728
         489    0.720178    0.773524   0.0117045
         490    0.719759    0.773415   0.0116811
         491    0.719372    0.773305   0.0116579
         492     0.71902    0.773194   0.0116347
         493      0.7187    0.773084   0.0116116
         494    0.718414    0.772973   0.0115886
         495    0.718163    0.772862   0.0115658
         496    0.717946    0.772752    0.011543
         497    0.717763    0.772641   0.0115203
         498    0.717616     0.77253   0.0114977
         499    0.717503     0.77242   0.0114752
         500    0.717427     0.77231   0.0114527
         501    0.717386    0.772201   0.0114304
         502     0.71738    0.772091   0.0114082
         503     0.71741    0.771983    0.011386
         504    0.717475    0.771874   0.0113639
         505    0.717576    0.771767   0.0113419
         506    0.717712     0.77166     0.01132
         507    0.717886    0.771554   0.0112982
         508    0.718095    0.771449   0.0112764
         509    0.718342    0.771345   0.0112548
         510    0.718625    0.771241   0.0112332
         511    0.718946    0.771139   0.0112116
         512    0.719304    0.771038   0.0111902
         513      0.7197    0.770937   0.0111688
         514    0.720134    0.770839   0.0111475
         515    0.720605    0.770741   0.0111263
         516    0.721114    0.770645   0.0111052
         517    0.721661     0.77055   0.0110841
         518    0.722246    0.770457   0.0110631
         519    0.722869    0.770365   0.0110422
         520    0.723528    0.770275   0.0110213
         521    0.724224    0.770187   0.0110005
         522    0.724956      0.7701   0.0109798
         523    0.725723    0.770015   0.0109591
         524    0.726527    0.769932   0.0109385
         525    0.727366    0.769851    0.010918
         526    0.728241    0.769772   0.0108975
         527     0.72915    0.769695   0.0108771
         528    0.730094     0.76962   0.0108567
         529    0.731072    0.769547   0.0108365
         530    0.732083    0.769476   0.0108163
         531    0.733126    0.769408   0.0107961
