#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         451     1.08317      1.2963    0.016045
         452     1.08421     1.29583   0.0160164
         453      1.0853     1.29537   0.0159877
         454     1.08644     1.29491   0.0159592
         455     1.08763     1.29445   0.0159306
         456     1.08887       1.294    0.015902
         457     1.09016     1.29356   0.0158735
         458      1.0915     1.29312    0.015845
         459     1.09288     1.29268   0.0158164
         460     1.09431     1.29225   0.0157879
         461     1.09578     1.29182   0.0157594
         462     1.09729      1.2914   0.0157309
         463     1.09883     1.29098   0.0157025
         464     1.10042     1.29057    0.015674
         465     1.10203     1.29017   0.0156455
         466     1.10368     1.28977   0.0156171
         467     1.10535     1.28937   0.0155886
         468     1.10706     1.28898   0.0155602
         469     1.10878      1.2886   0.0155317
         470     1.11052     1.28822   0.0155033
         471     1.11228     1.28785   0.0154749
         472     1.11405     1.28748   0.0154465
         473     1.11584     1.28712   0.0154181
         474     1.11763     1.28676   0.0153897
         475     1.11942     1.28641   0.0153614
         476     1.12121     1.28606    0.015333
         477       1.123     1.28572   0.0153047
         478     1.12478     1.28538   0.0152764
         479     1.12656     1.28505   0.0152481
         480     1.12832     1.28472   0.0152198
         481     1.13007      1.2844   0.0151915
         482      1.1318     1.28408   0.0151633
         483     1.13351     1.28377   0.0151351
         484     1.13519     1.28347    0.015107
         485     1.13686     1.28316   0.0150789
         486     1.13849     1.28287   0.0150508
         487      1.1401     1.28257   0.0150227
         488     1.14167     1.28228   0.0149947
         489     1.14321       1.282   0.0149667
         490     1.14471     1.28172   0.0149388
         491     1.14617     1.28144   0.0149109
         492      1.1476     1.28117   0.0148831
         493     1.14899      1.2809   0.0148553
         494     1.15033     1.28064   0.0148276
         495     1.15163     1.28038      0.0148
         496     1.15289     1.28012   0.0147723
         497     1.15411     1.27987   0.0147448
         498     1.15528     1.27962   0.0147173
         499      1.1564     1.27937   0.0146899
         500     1.15748     1.27913   0.0146625
         501     1.15851     1.27889   0.0146352
         502      1.1595     1.27865    0.014608
         503     1.16045     1.27841   0.0145809
         504     1.16135     1.27818   0.0145538
         505      1.1622     1.27795   0.0145268
         506     1.16301     1.27772   0.0144999
         507     1.16378      1.2775    0.014473
         508      1.1645     1.27728   0.0144462
         509     1.16518     1.27706   0.0144195
         510     1.16582     1.27684   0.0143929
         511     1.16642     1.27662   0.0143663
         512     1.16698     1.27641   0.0143399
         513      1.1675      1.2762   0.0143135
         514     1.16798     1.27599   0.0142872
         515     1.16843     1.27578    0.014261
         516     1.16884     1.27557   0.0142349
         517     1.16921     1.27536   0.0142088
         518     1.16955     1.27516   0.0141828
         519     1.16986     1.27496    0.014157
         520     1.17013     1.27475   0.0141312
         521     1.17038     1.27455   0.0141055
         522     1.17059     1.27436   0.0140799
         523     1.17078     1.27416   0.0140543
         524     1.17094     1.27396   0.0140289
         525     1.17107     1.27376   0.0140035
         526     1.17118     1.27357   0.0139783
         527     1.17127     1.27338   0.0139531
         528     1.17133     1.27318    0.013928
         529     1.17137     1.27299    0.013903
         530     1.17139      1.2728   0.0138781
         531     1.17139     1.27261   0.0138533
         532     1.17137     1.27242   0.0138285
         533     1.17133     1.27223   0.0138039
         534     1.17127     1.27204   0.0137793
         535      1.1712     1.27185   0.0137549
         536     1.17112     1.27166   0.0137305
         537     1.17101     1.27147   0.0137062
         538      1.1709     1.27129    0.013682
         539     1.17077      1.2711   0.0136579
         540     1.17063     1.27091   0.0136339
         541     1.17048     1.27073   0.0136099
         542     1.17031     1.27054   0.0135861
         543     1.17014     1.27036   0.0135623
         544     1.16995     1.27017   0.0135386
         545     1.16976     1.26999   0.0135151
         546     1.16956     1.26981   0.0134916
         547     1.16935     1.26962   0.0134681
         548     1.16913     1.26944   0.0134448
         549      1.1689     1.26926   0.0134216
         550     1.16866     1.26907   0.0133984
         551     1.16842     1.26889   0.0133753
         552     1.16817     1.26871   0.0133524
         553     1.16791     1.26853   0.0133295
         554     1.16765     1.26834   0.0133066
         555     1.16738     1.26816   0.0132839
         556      1.1671     1.26798   0.0132613
         557     1.16682      1.2678   0.0132387
         558     1.16653     1.26762   0.0132162
         559     1.16624     1.26744   0.0131938
         560     1.16594     1.26725   0.0131715
         561     1.16563     1.26707   0.0131493
         562     1.16532     1.26689   0.0131271
         563       1.165     1.26671    0.013105
         564     1.16467     1.26653   0.0130831
         565     1.16433     1.26635   0.0130611
         566     1.16399     1.26617   0.0130393
         567     1.16364     1.26599   0.0130176
         568     1.16328     1.26581   0.0129959
         569     1.16291     1.26563   0.0129743
         570     1.16254     1.26544   0.0129528
         571     1.16215     1.26526   0.0129314
         572     1.16176     1.26508   0.0129101
         573     1.16135      1.2649   0.0128888
         574     1.16094     1.26472   0.0128676
